iter	Passed	Remaining
0	422	422231
1	552	275477
2	606	201460
3	665	165786
4	727	144769
5	790	131036
6	847	120197
7	923	114493
8	972	107094
9	1032	102264
10	1090	98014
11	1144	94222
12	1273	96700
13	1369	96441
14	1418	93151
15	1472	90545
16	1528	88407
17	1582	86310
18	1637	84561
19	1684	82546
20	1758	82001
21	1810	80499
22	1864	79196
23	1912	77783
24	1972	76940
25	2031	76091
26	2098	75616
27	2152	74726
28	2206	73866
29	2255	72930
30	2295	71765
31	2334	70631
32	2375	69598
33	2423	68842
34	2468	68068
35	2516	67384
36	2567	66823
37	2608	66032
38	2646	65218
39	2686	64482
40	2724	63731
41	2761	62996
42	2802	62367
43	2838	61674
44	2879	61111
45	2929	60745
46	2984	60510
47	3046	60418
48	3142	60992
49	3206	60923
50	3260	60674
51	3314	60432
52	3368	60181
53	3420	59915
54	3482	59839
55	3540	59688
56	3586	59341
57	3628	58937
58	3667	58490
59	3709	58110
60	3748	57707
61	3777	57144
62	3817	56776
63	3850	56317
64	3884	55879
65	3918	55456
66	3959	55138
67	3995	54756
68	4038	54486
69	4072	54105
70	4118	53886
71	4174	53804
72	4295	54552
73	4347	54398
74	4430	54642
75	4520	54960
76	4578	54882
77	4641	54860
78	4708	54897
79	4759	54729
80	4809	54562
81	4883	54674
82	4940	54584
83	5056	55141
84	5117	55087
85	5163	54878
86	5359	56245
87	5417	56144
88	5505	56354
89	5556	56182
90	5606	56004
91	5653	55796
92	5707	55664
93	5758	55506
94	5807	55327
95	5856	55153
96	5906	54982
97	5955	54816
98	6009	54691
99	6060	54544
100	6115	54436
101	6163	54261
102	6207	54061
103	6265	53976
104	6325	53915
105	6379	53803
106	6594	55038
107	6757	55815
108	6871	56166
109	6944	56184
110	6994	56018
111	7128	56521
112	7199	56512
113	7249	56341
114	8038	61863
115	8583	65409
116	8631	65143
117	8677	64861
118	8729	64631
119	8789	64454
120	9108	66165
121	9266	66691
122	9381	66888
123	9457	66813
124	9512	66588
125	9594	66550
126	9660	66405
127	9705	66116
128	9763	65925
129	9820	65721
130	9872	65489
131	9931	65309
132	9974	65024
133	10011	64699
134	10052	64410
135	10101	64175
136	10143	63893
137	10181	63598
138	10249	63490
139	10289	63206
140	10357	63100
141	10420	62964
142	10478	62800
143	10549	62709
144	10607	62549
145	10658	62344
146	10704	62116
147	10765	61974
148	10827	61840
149	10892	61723
150	10940	61513
151	11003	61389
152	11054	61197
153	11133	61159
154	11188	60994
155	11243	60832
156	11293	60641
157	11355	60514
158	11412	60364
159	11490	60322
160	11560	60242
161	11635	60188
162	11692	60042
163	11735	59823
164	11779	59609
165	11816	59366
166	11884	59278
167	11932	59094
168	11977	58896
169	12026	58719
170	12081	58570
171	12150	58492
172	12214	58388
173	12280	58297
174	12343	58191
175	12395	58034
176	12448	57883
177	12582	58104
178	12651	58028
179	12713	57916
180	12789	57870
181	12839	57707
182	12890	57549
183	12943	57400
184	12989	57225
185	13037	57054
186	13081	56873
187	13147	56787
188	13230	56771
189	13275	56593
190	13439	56925
191	13505	56837
192	13555	56681
193	13615	56568
194	13775	56867
195	13829	56729
196	13882	56588
197	13930	56426
198	14047	56544
199	14350	57402
200	14428	57355
201	14481	57208
202	14542	57093
203	14595	56952
204	14646	56799
205	14697	56650
206	14747	56496
207	14819	56427
208	14868	56272
209	14931	56171
210	14995	56074
211	15045	55923
212	15101	55799
213	15176	55741
214	15238	55637
215	15298	55528
216	15391	55535
217	15457	55449
218	15519	55345
219	15578	55233
220	15647	55155
221	15695	55005
222	15746	54867
223	15819	54802
224	15872	54673
225	15937	54581
226	15988	54446
227	16041	54315
228	16110	54241
229	16168	54130
230	16219	53994
231	16261	53832
232	16314	53705
233	16357	53544
234	16395	53371
235	16435	53205
236	16478	53052
237	16521	52895
238	16556	52718
239	16595	52552
240	16633	52383
241	16671	52220
242	16708	52049
243	16751	51902
244	16795	51759
245	16831	51590
246	16874	51442
247	16991	51524
248	17054	51438
249	17106	51318
250	17165	51222
251	17220	51113
252	17379	51315
253	17469	51307
254	17526	51206
255	17647	51287
256	17825	51533
